event,circuit,team,category,weighted_speed_delta_vs_mercedes_pct,time_weight_seconds,segment_count,segments
fastf1_2026_british_grand_prix,Silverstone Circuit,Haas F1 Team,Straights,0.646,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,McLaren,Straights,-0.397,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,Mercedes,Straights,0.0,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,Racing Bulls,Straights,0.603,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,Red Bull Racing,Straights,0.595,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_british_grand_prix,Silverstone Circuit,Williams,Straights,0.679,34.98895739569244,6,"seg_01, seg_04, seg_06, seg_08, seg_10, seg_12"
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Alpine,Fast corners,-0.479,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Aston Martin,Fast corners,4.656,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Audi,Fast corners,0.428,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Cadillac,Fast corners,4.89,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Ferrari,Fast corners,2.182,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Haas F1 Team,Fast corners,2.481,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,McLaren,Fast corners,1.087,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Mercedes,Fast corners,0.0,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Racing Bulls,Fast corners,-0.165,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Red Bull Racing,Fast corners,-1.405,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Williams,Fast corners,2.406,4.707362,1,seg_03
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Alpine,Slow corners,4.079,45.773032,5,"seg_02, seg_04, seg_06, seg_08, seg_10"
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Aston Martin,Slow corners,8.635,45.773032,5,"seg_02, seg_04, seg_06, seg_08, seg_10"
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Audi,Slow corners,2.421,45.773032,5,"seg_02, seg_04, seg_06, seg_08, seg_10"
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Cadillac,Slow corners,6.709,45.773032,5,"seg_02, seg_04, seg_06, seg_08, seg_10"
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Ferrari,Slow corners,1.503,45.773032,5,"seg_02, seg_04, seg_06, seg_08, seg_10"
fastf1_2026_canadian_grand_prix,Circuit Gilles-Villeneuve,Haas F1 Team,Slow corners,3.445,45.773032,5,"seg_02, seg_04, seg_06, seg_08, seg_10"
